utt_name,pesq,sdi,stoi,voicemos
/Users/iorife/Downloads/sorted-wavs/male-Ab-three.wav,3.9662771,0.19593988,0.9791615,3.2082396
/Users/iorife/Downloads/sorted-wavs/male-Ab-twelve.wav,4.2184463,0.2261797,0.9929241,3.38613
/Users/iorife/Downloads/sorted-wavs/male-Ab-two.wav,4.440798,0.17169097,0.99743855,3.1120095
/Users/iorife/Downloads/sorted-wavs/male-Mos-eight.wav,4.580446,0.060122814,0.9998479,3.2031443
/Users/iorife/Downloads/sorted-wavs/male-Mos-eleven.wav,4.319242,0.14352824,0.9974187,3.4427872
/Users/iorife/Downloads/sorted-wavs/male-Mos-five.wav,4.217301,0.20094882,0.9954041,3.3391097
/Users/iorife/Downloads/sorted-wavs/male-Mos-four.wav,3.7296588,0.36056912,0.9326948,3.3769827
/Users/iorife/Downloads/sorted-wavs/male-Mos-nine.wav,2.9129326,0.77368766,0.9660745,2.4106486
/Users/iorife/Downloads/sorted-wavs/male-Mos-one.wav,4.584772,0.05446997,0.9998176,3.2533917
/Users/iorife/Downloads/sorted-wavs/male-Mos-seven.wav,3.900013,0.31727603,0.97027475,3.3593476
/Users/iorife/Downloads/sorted-wavs/male-Mos-six.wav,4.05058,0.20823947,0.9908701,3.2662663
/Users/iorife/Downloads/sorted-wavs/male-Mos-ten.wav,4.62829,0.028756345,0.9999417,2.9350755
/Users/iorife/Downloads/sorted-wavs/male-Mos-three.wav,4.0089116,0.2850581,0.9811653,3.486053
/Users/iorife/Downloads/sorted-wavs/male-Mos-twelve.wav,4.311272,0.2193554,0.99789506,3.3353803
/Users/iorife/Downloads/sorted-wavs/male-Mos-two.wav,3.9965227,0.44468376,0.97218555,3.1390667
/Users/iorife/Downloads/sorted-wavs/male-ab-ref.wav,3.6474695,0.45787555,0.94762725,3.5076404
/Users/iorife/Downloads/sorted-wavs/male-ab-ten.wav,4.2364645,0.1331164,0.99742734,3.067213
/Users/iorife/Downloads/sorted-wavs/male-no-diac/male-Mushra-five.wav,3.910793,0.27117676,0.92369485,3.1156185
/Users/iorife/Downloads/sorted-wavs/male-no-diac/male-Mushra-four.wav,4.2928815,0.069462486,0.99951565,3.384409
/Users/iorife/Downloads/sorted-wavs/male-no-diac/male-Mushra-one.wav,3.6482627,0.3951928,0.906897,2.8125143
/Users/iorife/Downloads/sorted-wavs/male-no-diac/male-Mushra-three.wav,3.8689623,0.46558988,0.9728334,3.1687312
/Users/iorife/Downloads/sorted-wavs/male-no-diac/male-Mushra-two.wav,3.6411111,0.5676346,0.9189812,3.163866
/Users/iorife/Downloads/sorted-wavs/male/male-Mushra-five.wav,4.3158774,0.13489169,0.99730444,3.130795
/Users/iorife/Downloads/sorted-wavs/male/male-Mushra-four.wav,3.825218,0.33231193,0.95381314,3.0246851
/Users/iorife/Downloads/sorted-wavs/male/male-Mushra-one.wav,4.201279,0.13409017,0.99550384,3.2225127
/Users/iorife/Downloads/sorted-wavs/male/male-Mushra-three.wav,4.3824344,0.16657795,0.99965817,3.511713
/Users/iorife/Downloads/sorted-wavs/male/male-Mushra-two.wav,3.8657184,0.23608212,0.9653876,2.9821024
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-eight.wav,3.970324,0.2892074,0.96509063,3.0599074
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-eleven.wav,3.8517275,0.41001236,0.97135985,3.368552
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-five.wav,4.2116594,0.2603739,0.9934774,2.8762655
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-four.wav,4.363449,0.1456778,0.9923041,2.9728997
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-fourteen.wav,4.1403246,0.24176516,0.95005804,3.3918338
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-nine.wav,4.17614,0.1546439,0.9949341,3.2723002
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-one.wav,4.5010037,0.10507704,0.9970446,3.317844
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-seven.wav,4.4228196,0.1338242,0.9986373,3.1919408
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-six.wav,3.680887,0.5614784,0.9644986,3.3981218
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-thirteen.wav,3.9830945,0.4989746,0.9863564,2.601438
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-three.wav,2.222281,0.7828988,0.9153049,3.0482147
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-twelve.wav,3.8469822,0.34051585,0.9665015,3.3077784
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Ab-two.wav,3.5933352,0.5360753,0.93516034,2.8933213
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-eight.wav,3.2424467,0.42776155,0.9352938,3.092094
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-eleven.wav,3.512499,0.46869817,0.9262691,2.8615398
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-five.wav,3.855524,0.37565908,0.98059946,3.1234574
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-four.wav,4.153892,0.18034023,0.9952642,3.2899613
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-nine.wav,3.4847043,0.3470016,0.9306546,2.5667021
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-one.wav,3.629877,0.2751928,0.97716427,3.0804386
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-seven.wav,3.7710826,0.32533985,0.96061367,3.1372557
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-six.wav,2.597535,0.52797306,0.8303879,3.3872414
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-ten.wav,4.533338,0.115873046,0.99932665,3.4230685
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-three.wav,3.9487522,0.3301941,0.9705693,3.3174157
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-twelve.wav,4.283214,0.19255598,0.9919811,3.0580206
/Users/iorife/Downloads/sorted-wavs/male_no_diac-Mos-two.wav,3.9184043,0.37319362,0.9505542,3.179782
